target,occurrences_c1,occurrences_c2,has_both_periods,has_gold
attack_nn,446,731,True,True
bag_nn,159,647,True,True
ball_nn,310,722,True,True
bit_nn,297,1008,True,True
chairman_nn,148,661,True,True
circle_vb,407,414,True,True
contemplation_nn,220,108,True,True
donkey_nn,85,114,True,True
edge_nn,340,875,True,True
face_nn,3096,3863,True,True
fiction_nn,165,316,True,True
gas_nn,120,625,True,True
graft_nn,89,88,True,True
head_nn,3207,3839,True,True
land_nn,1908,1385,True,True
lane_nn,178,214,True,True
lass_nn,62,91,True,True
multitude_nn,340,103,True,True
ounce_nn,114,82,True,True
part_nn,4075,2978,True,True
pin_vb,69,120,True,True
plane_nn,234,579,True,True
player_nn,72,417,True,True
prop_nn,77,69,True,True
quilt_nn,68,146,True,True
rag_nn,37,108,True,True
record_nn,325,860,True,True
relationship_nn,121,600,True,True
risk_nn,309,636,True,True
savage_nn,517,146,True,True
stab_nn,79,93,True,True
stroke_vb,151,180,True,True
thump_nn,64,99,True,True
tip_vb,48,254,True,True
tree_nn,1032,726,True,True
twist_nn,115,197,True,True
word_nn,1867,1385,True,True
